Airport,Latitude,Longitude
Bahrain,26.2671847,50.6302827
Saudi_Arabia,21.663466,39.1724319
Qatar,25.2680323,51.5582319
Abu_Dhabi,24.441938,54.6500736
Italy_Imola,44.5345216,11.2878593
Italy_Monza,45.4533303,9.2762862
Monaco,43.6597689,7.2148214
Spain,41.2972361,2.0812289
Austria,46.9940455,15.4401315
United_Kingdom,51.4679914,-0.455051
Hungary,47.4329462,19.2607709
Belgium,50.6406867,5.44447335
Netherlands,52.3130253,4.7724781
Azerbaijan,40.4656128,50.0521445
Japan,34.8591775,136.8099844
China,31.192209,121.334297
Singapore,1.3544924,103.9886015
Australia,-37.6721745,144.8503119
US_Las_Vegas,36.0839998,-115.1537389
US_Texas,30.1974711,-97.6663529
US_Miami,25.7951459,-80.2795092
Canada,45.4656851,-73.7454814
Mexico,19.43606739,-99.07191426
Brazil,-23.6282262,-46.6570443
